tarikh,nama_kluster,kategori_kluster,daerah
2021-05-11,Jalan Sepuluh Industri Miel,Tempat Kerja,Petaling
2021-05-11,Jalan Sepuluh Industri Miel,Tempat Kerja,Gombak
2021-05-11,Jalan Utarid Lima,Tempat Kerja,Petaling
2021-05-11,Dah Penghulu,Keagamaan,Kuala Muda
2021-05-11,Jalan Dato Setia,Keagamaan,Johor Bahru
2021-05-11,Pauh Lima,Keagamaan,Bachok
2021-05-11,Pauh Lima,Keagamaan,Kota Bharu
2021-05-11,Jalan Haji Abdul Aziz,Keagamaan,Klang
2021-05-12,Kebagu,Pendidikan,Kota Kinabalu
2021-05-12,Kebagu,Pendidikan,Papar
2021-05-12,Jalan Muafakat,Keagamaan,Johor Bahru
2021-05-12,Lorong Taman Ipoh Dua,Kumpulan Berisiko Tinggi,Kinta
2021-05-12,Lorong Taman Ipoh Dua,Kumpulan Berisiko Tinggi,Kuala Kangsar
2021-05-12,Tanjung Kapor,Komuniti,Semporna
2021-05-12,Kahang Timur,Komuniti,Kluang
2021-05-12,Kampung Tok Sangkut,Komuniti,Pasir Mas
2021-05-12,Skim Penempatan Stapok,Komuniti,Kuching
2021-05-12,Skim Penempatan Stapok,Komuniti,Bau
2021-05-12,Nanga Skrang,Komuniti,Sri Aman
2021-05-12,Telipot,Tempat Kerja,Kota Bharu
2021-05-12,Telipot,Tempat Kerja,Tumpat
2021-05-12,Telipot,Tempat Kerja,Tanah Merah
2021-05-12,Telipot,Tempat Kerja,Machang
2021-05-12,Telipot,Tempat Kerja,Bachok
2021-05-12,Telipot,Tempat Kerja,Pasir Puteh
2021-05-12,Jalan Terbilang,Tempat Kerja,Seberang Perai Utara
2021-05-12,Jalan Terbilang,Tempat Kerja,Seberang Perai Tengah
2021-05-12,Jalan Tembaga Industri,Tempat Kerja,Johor Bahru
2021-05-12,Jalan Tembaga Industri,Tempat Kerja,Kota Tinggi
2021-05-12,Jalan Segambut Pusat,Tempat Kerja,Kepong
2021-05-12,Jalan Segambut Pusat,Tempat Kerja,Gombak
2021-05-12,Tapak Bina Batu Lima,Tempat Kerja,Lembah Pantai
2021-05-12,Persiaran Satu,Tempat Kerja,Cheras
2021-05-12,Persiaran Masjid Lima,Tempat Kerja,Petaling
2021-05-12,Persiaran Masjid Lima,Tempat Kerja,Klang
2021-05-12,Persiaran Masjid Lima,Tempat Kerja,Kuala Langat
2021-05-12,Persiaran Masjid Lima,Tempat Kerja,Kuala Selangor
2021-05-12,Industri Jalan Emas,Tempat Kerja,Kuala Langat
2021-05-12,Industri Jalan Emas,Tempat Kerja,Klang
2021-05-12,Tapak Bina Bukit Semenyih 2,Tempat Kerja,Hulu Langat
2021-05-12,Tapak Bina Bukit Semenyih 2,Tempat Kerja,Kuala Langat
2021-05-12,Persimpangan Batu Arang,Tempat Kerja,Gombak
2021-05-12,Persimpangan Batu Arang,Tempat Kerja,Hulu Selangor
2021-05-12,Tapak Bina Persiaran Tanjung,Tempat Kerja,Sepang
2021-05-12,Jalan Gangsa Industri,Tempat Kerja,Johor Bahru
2021-05-13,Jalan Lilin,Komuniti,Miri
