tarikh,nama_kluster,kategori_kluster,negeri
2021-05-31,Jalan Jambusan -Sunchar,Komuniti,Sarawak
2021-05-31,Dah Bagan,Komuniti,Kedah
2021-05-31,Kampung Sungai Kerang,Komuniti,Perak
2021-05-31,Milenium,Komuniti,Sabah
2021-05-31,Kampung Laneh,Komuniti,Perak
2021-05-31,Jalan Alam Jaya,Tempat Kerja,Selangor
2021-05-31,Industri Jalan Karak,Tempat Kerja,Pahang
2021-05-31,Dah Batu Dua,Pendidikan,Kedah
2021-05-31,Persiaran Titiwangsa,Kumpulan Berisiko Tinggi,WP Kuala Lumpur
2021-06-01,Jalan Taman Sri Selising,Pendidikan,Kelantan
2021-06-01,Persiaran Bestari,Tempat Kerja,Selangor
2021-06-01,Batu Empat Kampung Jawa,Tempat Kerja,Selangor
2021-06-01,Jalan Setia Perdana,Tempat Kerja,Selangor
2021-06-01,Jalan Haji Lampam,Tempat Kerja,Sarawak
2021-06-01,Panchor,Tempat Kerja,Kelantan
2021-06-01,Jalan NIP Dua,Tempat Kerja,Johor
2021-06-01,Jalan Dataran Larkin Tiga,Tempat Kerja,Johor
2021-06-01,Jalan Suka Ria,Tempat Kerja,Johor
2021-06-01,Jalan Semarak,Tempat Kerja,WP Kuala Lumpur
2021-06-01,Hala Kampung Jawa Dua,Tempat Kerja,Pulau Pinang
2021-06-01,Jalan Enggang,Tempat Kerja,Selangor
2021-06-01,Lebuh Kampung Jawa,Tempat Kerja,Pulau Pinang
2021-06-01,Tengah Hulu Gedong,Komuniti,Sarawak
2021-06-01,Kampung Bukit Bidang,Komuniti,Kelantan
2021-06-01,Linggiu,Komuniti,Johor
2021-06-01,Belah Dua,Komuniti,Pulau Pinang
2021-06-01,Kampung Paloh Chicha Tinggi,Komuniti,Kelantan
2021-06-01,Lubok Kuin,Komuniti,Kelantan
2021-06-01,Indah Paka,Komuniti,Terengganu
2021-06-01,Teluk Muroh,Komuniti,Perak
2021-06-01,Parit Haji Wahab,Keagamaan,Perak
2021-06-01,Parit Babok,Keagamaan,Johor
2021-06-01,Jalan Greentown Dua,Tempat Kerja,Perak
2021-06-01,Taman Kerian Tambahan,Keagamaan,Perak
2021-06-01,Kampung Menjual,Pendidikan,Kelantan
2021-06-01,Persiaran Raja Chulan,Kumpulan Berisiko Tinggi,WP Kuala Lumpur
2021-06-02,Industri Bukit Panchor,Tempat Kerja,Pulau Pinang
2021-06-02,Jalan Jee Cattleya,Tempat Kerja,Sarawak
2021-06-02,Jalan Pinang Riam,Tempat Kerja,Sarawak
2021-06-02,Jalan SILC Satu,Tempat Kerja,Johor
2021-06-02,Teknologi Enam,Tempat Kerja,Johor
2021-06-02,Jalan Bioteknologi Satu,Tempat Kerja,Johor
2021-06-02,Pantai Kemayang,Tempat Kerja,Kelantan
2021-06-02,Industri Jemapoh,Tempat Kerja,Negeri Sembilan
2021-06-02,Jalan Tambun,Tempat Kerja,Perak
2021-06-02,Jalan Balam,Tempat Kerja,WP Kuala Lumpur
2021-06-02,Jalan Parit Raja Tengah,Komuniti,Johor
2021-06-02,Sungai Penyarai,Komuniti,Sarawak
2021-06-02,Kelisa Emas,Komuniti,Pulau Pinang
2021-06-02,Taman Fasa 2A,Komuniti,Perak
2021-06-02,Taman Fasa 2A,Komuniti,WP Kuala Lumpur
2021-06-02,Dah Kampung Lancuk,Komuniti,Kedah
2021-06-02,Kampung Alai,Komuniti,Perak
2021-06-02,Jalan Beringin,Pendidikan,Selangor
2021-06-02,Jalan Yaacob Latif 2,Pendidikan,WP Kuala Lumpur
2021-06-02,DTI Kemayan,Pusat Tahanan,Pahang
2021-06-02,Jalan Mutiara Galla,Keagamaan,Negeri Sembilan
2021-06-02,Nanga Meruan,Komuniti,Sarawak
2021-06-02,Jalan Waja Lima Belas,Tempat Kerja,Selangor
2021-06-03,Tapak Bina Persiaran Bukit Raja,Tempat Kerja,Selangor
2021-06-03,Tapak Bina Bandar Sunsuria,Tempat Kerja,Selangor
2021-06-03,Tapak Bina Jalan Wawasan,Tempat Kerja,Selangor
2021-06-03,Jalan Damai Budi,Pendidikan,WP Kuala Lumpur
2021-06-03,Kampung Mat Daling,Komuniti,Pahang
2021-06-03,Jalan Cendana,Komuniti,Johor
2021-06-03,Sungai Selangan,Komuniti,Sarawak
2021-06-03,Putra Empat,Tempat Kerja,WP Putrajaya
2021-06-03,Industri Gebeng,Tempat Kerja,Pahang
2021-06-03,Jalan Tembaga Kuning,Tempat Kerja,Perak
2021-06-03,Jalan Coastal Sembulan,Tempat Kerja,Sabah
2021-06-03,Jalan Pasar Bukit Mertajam,Tempat Kerja,Pulau Pinang
2021-06-03,Industri Perai Empat,Tempat Kerja,Pulau Pinang
2021-06-03,Jalan 4A Padang Tembak,Tempat Kerja,Kelantan
2021-06-03,Jalan Sri Aman,Tempat Kerja,Kelantan
2021-06-03,Kampung Aur,Tempat Kerja,Kelantan
2021-06-03,Jalan Paya,Tempat Kerja,Johor
2021-06-03,Jalan Angkasa Mas Satu,Tempat Kerja,Johor
2021-06-03,Jalan Murni Lapan,Tempat Kerja,Johor
2021-06-03,Jalan Flora Utama,Tempat Kerja,Johor
2021-06-03,Jalan Brooke,Tempat Kerja,Sarawak
2021-06-03,Batu Hitam,Komuniti,Pahang
2021-06-03,Taman Sentosa,Tempat Kerja,Selangor
2021-06-03,Jalan Manan 2,Tempat Kerja,Selangor
2021-06-04,Jalan Sungai Bakau,Tempat Kerja,Selangor
2021-06-04,Jalan Tampin – Gemas,Tempat Kerja,Negeri Sembilan
2021-06-04,Industri Jalan Senawang Tiga,Tempat Kerja,Negeri Sembilan
2021-06-04,Industri Sungai Buloh,Tempat Kerja,Selangor
2021-06-04,Jalan Keluli Tiga,Tempat Kerja,Johor
2021-06-04,Jalan Bandar Baru,Tempat Kerja,Pulau Pinang
2021-06-04,Jalan Jelapang 2,Tempat Kerja,Perak
2021-06-04,Jalan Tanjung Machang,Tempat Kerja,Kelantan
2021-06-04,Pasar Borong Jengka,Tempat Kerja,Pahang
2021-06-04,Bunut,Komuniti,Sarawak
2021-06-04,Persiaran Camellia,Tempat Kerja,Selangor
2021-06-04,Pulutan,Komuniti,Sabah
2021-06-04,Dah Rimba,Komuniti,Kedah
2021-06-04,Alor Serdang,Komuniti,Terengganu
2021-06-04,Gunung Senyum,Komuniti,Pahang
2021-06-04,Jengka Dua Puluh,Komuniti,Pahang
2021-06-04,Tapak Bina  Desa Bakti,Tempat Kerja,WP Kuala Lumpur
2021-06-04,Taman Seremban Jaya,Keagamaan,Negeri Sembilan
2021-06-04,Jalan Alor Gajah Lama,Keagamaan,Melaka
2021-06-04,Persiaran Mercu,Pendidikan,Selangor
2021-06-04,Putra Enam Belas,Pendidikan,WP Putrajaya
2021-06-04,Putra Enam Belas,Pendidikan,Selangor
2021-06-04,Dah Fajar,Komuniti,Kedah
2021-06-04,Industri Persiaran Bunga Tanjung Dua,Tempat Kerja,Negeri Sembilan
2021-06-05,Jalan Perak Industri,Tempat Kerja,Johor
2021-06-05,Jalan Jaya 2,Kumpulan Berisiko Tinggi,WP Kuala Lumpur
2021-06-05,Jalan Kampung Yoh,Tempat Kerja,Sarawak
2021-06-05,Industri Jalan Bunga Tanjung Tiga,Tempat Kerja,Negeri Sembilan
2021-06-05,Lorong Perusahaan Maju Enam,Tempat Kerja,Pulau Pinang
2021-06-05,Lubok Nitik,Tempat Kerja,Sarawak
2021-06-05,Lebuh Raja Lumu,Tempat Kerja,Selangor
2021-06-05,Jalan Persiaran 67,Tempat Kerja,Johor
2021-06-05,Kilometer Dua Belas,Tempat Kerja,Selangor
2021-06-05,Jalan Molek Satu,Tempat Kerja,Johor
2021-06-05,Industri Wakaf Tapai,Tempat Kerja,Terengganu
2021-06-05,Ladang Bukit Ibam,Tempat Kerja,Pahang
2021-06-05,Jalan Perkasa,Pendidikan,WP Kuala Lumpur
2021-06-05,Jalan Changkat Permata,Tempat Kerja,Selangor
2021-06-05,Gambaron,Tempat Kerja,Sabah
2021-06-05,Jalan Emas Satu Nilai,Tempat Kerja,Negeri Sembilan
2021-06-05,Jalan Johor,Tempat Kerja,Johor
2021-06-05,Jalan Melaka,Tempat Kerja,WP Kuala Lumpur
2021-06-05,Jalan Pahang Taiping,Komuniti,Perak
2021-06-05,Banting Sri Aman,Komuniti,Sarawak
2021-06-05,Ijus Pengelayan,Komuniti,Sarawak
2021-06-05,Kampung Blok 31,Komuniti,Sabah
2021-06-05,Skim B Meradong,Komuniti,Sarawak
2021-06-05,Industri Mentakab,Tempat Kerja,Pahang
2021-06-06,Pagar Jalan Sultanah,Pusat Tahanan,Johor
2021-06-06,Kilometer 35 Kemendor,Keagamaan,Melaka
2021-06-06,Jalan Alamanda Dua,Tempat Kerja,WP Putrajaya
2021-06-06,Jalan Alamanda Dua,Tempat Kerja,Selangor
2021-06-06,Behrang Stesen,Pendidikan,Perak
2021-06-06,Kampung Bakong,Komuniti,Kelantan
2021-06-06,Bukit Jong,Komuniti,Kelantan
2021-06-06,Murni C,Komuniti,Sabah
2021-06-06,Tamalang,Komuniti,Sabah
2021-06-06,Gusi,Komuniti,Sabah
2021-06-06,Dah Saga,Tempat Kerja,Kedah
2021-06-06,Industri Bukit Nian,Tempat Kerja,Melaka
2021-06-06,Hilir Sungai Kluang Tiga,Tempat Kerja,Pulau Pinang
2021-06-06,Industri Chain Ferry,Tempat Kerja,Pulau Pinang
2021-06-06,Sri Cemerlang,Tempat Kerja,Kelantan
2021-06-06,Jalan Waja Enam Belas,Tempat Kerja,Selangor
2021-06-06,Persiaran Sabak 26,Tempat Kerja,Selangor
2021-06-06,Jalan Ketiau Tombovo,Tempat Kerja,Sabah
2021-06-06,Sawit Kinabatangan,Tempat Kerja,Sabah
2021-06-06,Jalan Utama,Tempat Kerja,Sabah
2021-06-06,Taman Aman,Tempat Kerja,Johor
2021-06-06,Ladang Tereh,Tempat Kerja,Johor
2021-06-06,Jalan Kebun Sayur,Tempat Kerja,Johor
2021-06-06,Jalan Teknologi Perintis Dua,Tempat Kerja,Johor
2021-06-06,Jalan Bertam 23,Tempat Kerja,Johor
2021-06-06,Jalan Silat   Harimau 21,Tempat Kerja,Johor
2021-06-06,Kampung Jejawi,Komuniti,Kelantan
2021-06-06,Jaya Gading,Komuniti,Pahang
2021-06-06,Jalan Parit Haji Zain,Tempat Kerja,Johor
2021-06-06,Jalan Kasturi Satu,Pendidikan,Selangor
2021-06-06,Bukit Gasing,Kumpulan Berisiko Tinggi,Selangor
2021-06-07,Pelandang,Komuniti,Terengganu
2021-06-07,Integrasi Rawang Satu,Tempat Kerja,Selangor
2021-06-07,Jalan Keretapi Lama Klang,Tempat Kerja,Selangor
2021-06-07,Jalan Tujuh Selatan,Tempat Kerja,Selangor
2021-06-07,Jalan SS Enam,Tempat Kerja,Selangor
2021-06-07,Jalan Perindustrian Tujuh,Tempat Kerja,Johor
2021-06-07,Jalan Parit Hulu,Tempat Kerja,Johor
2021-06-07,Jalan Besar Rengit,Tempat Kerja,Johor
2021-06-07,Jalan Airport,Tempat Kerja,Sarawak
2021-06-07,Jalan Ilmu,Tempat Kerja,Sarawak
2021-06-07,Pedas 2,Tempat Kerja,Negeri Sembilan
2021-06-07,Hamparan,Tempat Kerja,Sabah
2021-06-07,Kampung Gajah Mati,Tempat Kerja,Kelantan
2021-06-07,Jalan Walter Granier,Tempat Kerja,WP Kuala Lumpur
2021-06-07,Jalan Burma,Tempat Kerja,Pulau Pinang
2021-06-07,Dah Ria Jaya,Tempat Kerja,Kedah
2021-06-07,Sungai Durin,Komuniti,Sarawak
2021-06-07,Jalan Masket,Komuniti,Sarawak
2021-06-07,Taman Wawasan,Komuniti,Sabah
2021-06-07,Kampung Bolong Baru,Komuniti,Sabah
2021-06-07,Jalan Budi,Komuniti,Sabah
2021-06-07,Industri Kampung Gebok,Tempat Kerja,Negeri Sembilan
2021-06-07,Jalan Keranji,Kumpulan Berisiko Tinggi,Johor
2021-06-08,Jalan Logah Segamat,Keagamaan,Johor
2021-06-08,Jalan Alamanda Presint Satu,Tempat Kerja,WP Putrajaya
2021-06-08,Rantau Kenanga,Komuniti,Perak
2021-06-08,Ulu Sebakong,Komuniti,Sarawak
2021-06-08,Ulu Teru,Komuniti,Sarawak
2021-06-08,Tanjung Aru Baru,Komuniti,Sabah
2021-06-08,Kampung Bundu,Komuniti,Sabah
2021-06-08,Jalan Sri Jaafar,Tempat Kerja,Pahang
2021-06-08,Jalan Kota Jelasin,Tempat Kerja,Kelantan
2021-06-08,Jalan Seruling,Tempat Kerja,Pulau Pinang
2021-06-08,Jalan Cempedak 2,Kumpulan Berisiko Tinggi,WP Kuala Lumpur
2021-06-08,Jalan Melang,Kumpulan Berisiko Tinggi,Negeri Sembilan
2021-06-08,Tapak Bina Muda 2,Tempat Kerja,WP Kuala Lumpur
2021-06-08,Jalan Kesang,Tempat Kerja,Johor
2021-06-08,Industri Tanjung Agas,Tempat Kerja,Johor
2021-06-08,Segara,Tempat Kerja,Sabah
2021-06-08,Ocean Blue,Tempat Kerja,Sabah
2021-06-08,Coral,Tempat Kerja,Sabah
2021-06-08,Bukit Rahman Lapan,Tempat Kerja,Selangor
2021-06-08,Jalan Enam C,Tempat Kerja,Selangor
2021-06-08,Jalan Equine,Tempat Kerja,Selangor
2021-06-08,Jalan Satu Olak Dua,Tempat Kerja,Selangor
2021-06-08,Dah Mahang Merah,Tempat Kerja,Kedah
2021-06-08,Teluk Kabung,Kumpulan Berisiko Tinggi,Johor
2021-06-09,Industri Balakong Tujuh,Tempat Kerja,Selangor
2021-06-09,Perusahaan Dua Batu Caves,Tempat Kerja,Selangor
2021-06-09,Dah Mengkudu,Tempat Kerja,Kedah
2021-06-09,Gong Mengkeleh,Komuniti,Kelantan
2021-06-09,Alam Jaya Dua,Tempat Kerja,Selangor
2021-06-09,Jalan Wisma,Tempat Kerja,Sabah
2021-06-09,Lot Sembilan,Tempat Kerja,Sabah
2021-06-09,Kampung Huda,Tempat Kerja,Kelantan
2021-06-09,Industri Teluk Kalong,Tempat Kerja,Terengganu
2021-06-09,Lorong Perusahaan 8A,Tempat Kerja,Pulau Pinang
2021-06-09,Industri Medan Tasek,Tempat Kerja,Perak
2021-06-09,Jalan Keluli Sembilan,Tempat Kerja,Johor
2021-06-09,Sungai Rasau 27,Tempat Kerja,Selangor
2021-06-09,Putra Sembilan,Pendidikan,WP Putrajaya
2021-06-09,Putra Sembilan,Pendidikan,Selangor
2021-06-09,Camar Lapan,Tempat Kerja,Selangor
2021-06-10,Jalan Seri Austin,Tempat Kerja,Johor
2021-06-10,Jalan Perusahaan Maju Empat,Tempat Kerja,Pulau Pinang
2021-06-10,Jalan Dua Olak Lempit,Tempat Kerja,Selangor
2021-06-10,Jalan Perindustrian Balakong Jaya Dua,Tempat Kerja,Selangor
2021-06-10,Jalan Tiga Salak Tinggi,Tempat Kerja,Selangor
2021-06-10,Jalan Tanjung Klang,Tempat Kerja,Selangor
2021-06-10,Tapak Bina Alam Perdana,Tempat Kerja,Selangor
2021-06-10,Jalan SS Lapan Empat,Tempat Kerja,Selangor
2021-06-10,Jalan SS Lapan Empat,Tempat Kerja,WP Kuala Lumpur
2021-06-10,Jalan SS Lapan Empat,Tempat Kerja,WP Putrajaya
2021-06-10,Ploteknologi,Tempat Kerja,Johor
2021-06-10,Jalan Besar Batu Enam,Tempat Kerja,Johor
2021-06-10,Jalan Lee Bah Chai,Tempat Kerja,Johor
2021-06-10,Industri Kampung Jaya,Tempat Kerja,Selangor
2021-06-10,Jalan Bukit Satu Zink,Tempat Kerja,Johor
2021-06-10,Jalan Bandar Pasir Gudang,Tempat Kerja,Johor
2021-06-10,Lebuh Sungai Tiram Satu,Tempat Kerja,Pulau Pinang
2021-06-10,Jalan Besar Perai,Tempat Kerja,Pulau Pinang
2021-06-10,Tapak Bina Jalan Kolam Air,Tempat Kerja,WP Kuala Lumpur
2021-06-10,Dah Pekan Baru,Tempat Kerja,Kedah
2021-06-10,Bali Pie,Komuniti,Sarawak
2021-06-10,Jalan Samarakan,Komuniti,Sarawak
2021-06-10,Kampung Lakai,Komuniti,Negeri Sembilan
2021-06-10,Kampung Lobou,Keagamaan,Sabah
2021-06-11,Cabang Empat Chetok,Komuniti,Kelantan
2021-06-11,Semanok,Tempat Kerja,Sarawak
2021-06-11,Pekan Tatau Baru,Tempat Kerja,Sarawak
2021-06-11,Sungai Kakus,Tempat Kerja,Sarawak
2021-06-11,Laman Satu,Tempat Kerja,Johor
2021-06-11,Jalan Renchong,Tempat Kerja,Johor
2021-06-11,Jalan Tanjung A Tiga,Tempat Kerja,Johor
2021-06-11,Industri Jalan Bunga Cempaka Dua,Tempat Kerja,Selangor
2021-06-11,Industri Jalan Batu Arang,Tempat Kerja,Selangor
2021-06-11,Industri Puchong Lima,Tempat Kerja,Selangor
2021-06-11,Industri Sungai Putus,Tempat Kerja,Selangor
2021-06-11,Kopi Blues,Komuniti,Sabah
2021-06-11,Jalan Permatang Lapan,Kumpulan Berisiko Tinggi,Johor
2021-06-11,Industri Persiaran Raja Lumu,Tempat Kerja,Selangor
2021-06-11,Bukit Bakri,Tempat Kerja,Johor
2021-06-11,Penchala,Komuniti,WP Kuala Lumpur
2021-06-12,Industri Jalan Bandar Lama,Tempat Kerja,Selangor
2021-06-12,Jalan Bachok – Tok Bali,Pusat Tahanan,Kelantan
2021-06-12,Industri Jalan Sellathevan,Tempat Kerja,Selangor
2021-06-12,Industri Jalan Udang Galah,Tempat Kerja,Selangor
2021-06-12,Flora Blue Valley,Tempat Kerja,Pahang
2021-06-12,Industri Jalan 1/6 Gebeng,Tempat Kerja,Pahang
2021-06-12,Industri Jalan Haruan Enam,Tempat Kerja,Negeri Sembilan
2021-06-12,Industri Taman Melur,Tempat Kerja,Negeri Sembilan
2021-06-12,Jalan Perindustrian Bukit Minyak Tiga,Tempat Kerja,Pulau Pinang
2021-06-12,Perusahaan Baru Satu,Tempat Kerja,Pulau Pinang
2021-06-12,Jalan Pekeliling Tanjung,Tempat Kerja,Johor
2021-06-12,Industri Batu 46,Tempat Kerja,Selangor
2021-06-12,Jalan Lai Tet Loke,Tempat Kerja,WP Kuala Lumpur
2021-06-12,Dah Bukit Makmur,Tempat Kerja,Kedah
2021-06-12,Kampung Kubang Batu,Komuniti,Kelantan
2021-06-12,Kedai Ketereh,Komuniti,Kelantan
2021-06-12,Kampung Sinar Budi Baru,Komuniti,Sarawak
2021-06-12,Melatai,Komuniti,Sarawak
2021-06-12,Kampung Baru Sipitang,Komuniti,Sabah
2021-06-12,Indah,Komuniti,Sabah
2021-06-12,Ambar Park,Komuniti,Sabah
2021-06-12,Tembok Bukit Mertajam,Pusat Tahanan,Pulau Pinang
2021-06-12,Desa Pulau Rusa,Tempat Kerja,Terengganu
2021-06-12,Jalan Besar Simpang Renggam,Tempat Kerja,Johor
2021-06-13,Industri Jalan Usaha Merlimau,Tempat Kerja,Melaka
2021-06-13,Kampung Tabuan Haji Drahman,Komuniti,Sarawak
2021-06-13,Dah Sintok,Pendidikan,Kedah
2021-06-13,Kebayau,Komuniti,Sabah
2021-06-13,Kampung Sebandi Hilir,Komuniti,Sarawak
2021-06-13,Industri Jalan Sepuluh,Tempat Kerja,Kelantan
2021-06-13,Desa Tun Razak 2,Tempat Kerja,WP Kuala Lumpur
2021-06-13,Jalan Agaseh,Tempat Kerja,Sabah
2021-06-13,Lorong Satu A,Tempat Kerja,Sabah
2021-06-13,Tembikar Jalan Johor,Tempat Kerja,Johor
2021-06-13,PLO Perindustrian 65,Tempat Kerja,Johor
2021-06-13,Industri Jalan Anggerik Mokara,Tempat Kerja,Selangor
2021-06-13,Industri Sungai Chandong Sembilan,Tempat Kerja,Selangor
2021-06-13,Industri Jalan Sijangkang Utama,Tempat Kerja,Selangor
2021-06-13,Kampung Choh,Tempat Kerja,Johor
2021-06-14,Perindustrian Bakri Lima,Tempat Kerja,Johor
2021-06-14,Jalan Minyak Beku,Tempat Kerja,Johor
2021-06-14,Jalan Aik Hwa Choon,Tempat Kerja,Johor
2021-06-14,Industri Jalan Tengah Empat,Tempat Kerja,Selangor
2021-06-14,Tapak Bina Persiaran Pertahanan,Tempat Kerja,WP Kuala Lumpur
2021-06-14,Industri Subang Tujuh,Tempat Kerja,Selangor
2021-06-14,Industri Persiaran Usahawan Tiga,Tempat Kerja,Selangor
2021-06-14,Industri Sungai Pinang Lapan,Tempat Kerja,Selangor
2021-06-14,Batu Empat Tunjong,Tempat Kerja,Kelantan
2021-06-14,Industri Jalan Makmur,Tempat Kerja,Selangor
2021-06-14,Industri 5084 Pengkalan Chepa,Tempat Kerja,Kelantan
2021-06-14,Walit Agas,Tempat Kerja,Johor
2021-06-14,Sungai Sentebu,Komuniti,Sarawak
2021-06-14,Ulu Sangan,Komuniti,Sarawak
2021-06-14,Kampung Berangan Apam,Komuniti,Kelantan
2021-06-14,Kampung Senggang,Komuniti,Perak
2021-06-14,Jalan Bukit Delima,Kumpulan Berisiko Tinggi,Negeri Sembilan
2021-06-15,Nanga Sejugam,Komuniti,Sarawak
2021-06-15,Industri Teknologi Cheng 28,Tempat Kerja,Melaka
2021-06-15,Nanga Strass,Komuniti,Sarawak
2021-06-15,Kampung Kolong,Komuniti,Sarawak
2021-06-15,Desa Rejang,Komuniti,WP Kuala Lumpur
2021-06-15,Tingkat Perusahaan Empat,Tempat Kerja,Pulau Pinang
2021-06-15,Jalan Daya,Tempat Kerja,Sarawak
2021-06-15,Dulang,Tempat Kerja,Sarawak
2021-06-15,Kasap,Tempat Kerja,Johor
2021-06-15,Industri Jalan Serendah,Tempat Kerja,Selangor
2021-06-15,Industri Perusahaan Dua Bangi,Tempat Kerja,Selangor
2021-06-15,Dah Industri Arang,Tempat Kerja,Kedah
2021-06-15,Industri Meranti Jaya 13,Tempat Kerja,Selangor
2021-06-15,Industri Jalan Berangan,Tempat Kerja,Selangor
2021-06-15,Jalan Mesra,Kumpulan Berisiko Tinggi,WP Kuala Lumpur
2021-06-15,Jalan Mesra,Kumpulan Berisiko Tinggi,Selangor
2021-06-15,Industri Pulau Meranti,Tempat Kerja,Selangor
2021-06-15,Industri Balakong Baru 11,Tempat Kerja,Selangor
2021-06-15,Jalan Keluli Lama,Tempat Kerja,Johor
2021-06-15,Tapak Bina Wangsa Kuarza,Tempat Kerja,WP Kuala Lumpur
2021-06-16,Industri Serendah Indah,Tempat Kerja,Selangor
2021-06-16,Jalan Mentahak,Kumpulan Berisiko Tinggi,Johor
2021-06-16,Industri Jalan SS 13,Tempat Kerja,Selangor
2021-06-16,Industri Cheras Jalan Tiga,Tempat Kerja,Selangor
2021-06-16,Jalan Tanjung Kidurong Tiga,Tempat Kerja,Sarawak
2021-06-16,Jalan Wawasan Empat,Tempat Kerja,Johor
2021-06-16,Jalan Song Ban Kheng,Tempat Kerja,Pulau Pinang
2021-06-16,Jalan Tun Fatimah,Tempat Kerja,Melaka
2021-06-16,Solok Perusahaan Satu,Tempat Kerja,Pulau Pinang
2021-06-16,Solok Perusahaan Satu,Tempat Kerja,Kedah
2021-06-16,Gran Stumbin,Komuniti,Sarawak
2021-06-16,Jalan Bintulu – Tatau,Komuniti,Sarawak
2021-06-16,Kionsom Kecil,Komuniti,Sabah
2021-06-16,Lorong Tembun,Komuniti,Negeri Sembilan
2021-06-16,Sri Purnama,Komuniti,Kelantan
2021-06-16,Jalan Lima Ampang Utama,Kumpulan Berisiko Tinggi,Selangor
2021-06-16,Jalan Dayang,Kumpulan Berisiko Tinggi,Selangor
2021-06-16,Jalan Hujan Bubuk,Kumpulan Berisiko Tinggi,WP Kuala Lumpur
2021-06-16,Tapak Bina Jalan Gamuda Satu,Tempat Kerja,Selangor
2021-06-16,Jalan Intan,Tempat Kerja,Perak
2021-06-17,Tanjung Ketom,Komuniti,Terengganu
2021-06-17,Jalan Pamol,Tempat Kerja,Johor
2021-06-17,Industri Jalan Utarid U5,Tempat Kerja,Selangor
2021-06-17,Industri Solok Waja Dua,Tempat Kerja,Selangor
2021-06-17,Industri Batu Empat Sungai Pelek,Tempat Kerja,Selangor
2021-06-17,Industri Kilometer 15,Tempat Kerja,Selangor
2021-06-17,Industri Jalan KB 15,Tempat Kerja,Selangor
2021-06-17,Jalan Ho Koon Suan,Tempat Kerja,Johor
2021-06-17,Jalan Masyhur Empat,Tempat Kerja,Johor
2021-06-17,Jalan Seri Alam,Tempat Kerja,Johor
2021-06-17,Jalan Teluk Sengat,Tempat Kerja,Johor
2021-06-17,Jalan Perindustrian Enam,Tempat Kerja,Johor
2021-06-17,Industri Jalan Balakong Impian,Tempat Kerja,Selangor
2021-06-17,Bukit Godek,Komuniti,Melaka
2021-06-17,Taman Midah,Pendidikan,WP Kuala Lumpur
2021-06-17,Dah Industri Hitam,Tempat Kerja,Kedah
2021-06-17,Dah Industri Bakar,Tempat Kerja,Kedah
2021-06-17,Dah Segar Indah,Tempat Kerja,Kedah
2021-06-17,Lorong Industri Tujuh,Tempat Kerja,Pulau Pinang
2021-06-17,Tapak Bina Jalan Gelugor,Tempat Kerja,Pulau Pinang
2021-06-17,Sawai Niah,Tempat Kerja,Sarawak
2021-06-17,Pondok Batu Lapan,Tempat Kerja,Negeri Sembilan
2021-06-17,Jalan Kidurong Empat,Komuniti,Sarawak
2021-06-17,Bari,Komuniti,Negeri Sembilan
2021-06-17,Dah Industri Desa,Tempat Kerja,Kedah
2021-06-18,Industri Jalan Hitech Tujuh,Tempat Kerja,Selangor
2021-06-18,Industri Jalan Waja 14,Tempat Kerja,Selangor
2021-06-18,Jalan Abang Haji Openg,Tempat Kerja,WP Kuala Lumpur
2021-06-18,Industri Taming Lima,Tempat Kerja,Selangor
2021-06-18,Industri Agas Lima,Tempat Kerja,Johor
2021-06-18,Jalan SILC Industri,Tempat Kerja,Johor
2021-06-18,Tanjung A Empat,Tempat Kerja,Johor
2021-06-18,Industri Ayer Keroh,Tempat Kerja,Melaka
2021-06-18,Industri Jalan Mawar,Tempat Kerja,Melaka
2021-06-18,Industri Bukit Serdang Tujuh,Tempat Kerja,Selangor
2021-06-18,Tapak Bina Air Panas,Tempat Kerja,WP Kuala Lumpur
2021-06-18,Industri Jalan Jasmin,Tempat Kerja,Selangor
2021-06-18,Jalan Sungai Tapang,Tempat Kerja,Sarawak
2021-06-18,Jalan Fauna Satu,Tempat Kerja,Selangor
2021-06-18,Jalan Bidor,Tempat Kerja,Perak
2021-06-18,Kampung Serikin,Komuniti,Sarawak
2021-06-18,Jalan Padang Tembak Ayer Itam,Komuniti,Pulau Pinang
2021-06-18,Cabang Empat Salam,Komuniti,Kelantan
2021-06-18,Durian Penjara,Komuniti,Terengganu
2021-06-18,Jalan 18/16A Petaling,Kumpulan Berisiko Tinggi,Selangor
2021-06-18,Tembok Taiping 2,Pusat Tahanan,Perak
2021-06-18,Pintas – Lingkudau,Tempat Kerja,Sabah
2021-06-18,Tapak Bina Desa Rawang,Tempat Kerja,Selangor
2021-06-19,Jalan Kenyalang,Tempat Kerja,Johor
2021-06-19,Industri Jalan P1 Ayer Keroh,Tempat Kerja,Melaka
2021-06-19,Tanjung Bin Dua,Tempat Kerja,Johor
2021-06-19,Tapak Bina Perdagangan Dana,Tempat Kerja,Selangor
2021-06-19,Jalan Tujuh Selatan Dua,Tempat Kerja,Selangor
2021-06-19,Jalan Vita Dua,Tempat Kerja,Selangor
2021-06-19,Taman Merbau Utama,Komuniti,Kelantan
2021-06-19,Selindang,Tempat Kerja,Pahang
2021-06-19,Jalan Tengah,Komuniti,Johor
2021-06-19,Industri Alam Jaya 2/1,Tempat Kerja,Selangor
2021-06-19,Tapak Bina Jalan Perumahan Gurney,Tempat Kerja,WP Kuala Lumpur
2021-06-19,Jalan Kempas Lima,Tempat Kerja,Johor
